Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b8886ab501d38c7cd089cbd88aba40d90dc74579a15ae653e495892debd6933f,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.095236,51.474777,On or near HIGHMEAD,E01001685,Greenwich 017D,Investigation complete; no suspect identified
6b331eaf4546c3f57773e0caf0ceb0fc435aae4a609d6941f0123acfb06c017d,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.081701,51.478921,On or near TUAM ROAD,E01001683,Greenwich 017B,Investigation complete; no suspect identified
cb3f475f35bb4e6d46c16fd3923f0f1a558e15c1a9f4a693caf778f9f5b7da41,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.158657,51.584719,On or near THE DRIVE,E01001994,Haringey 030A,Suspect charged
ade2331d2f31c0935c8561543bcf2b99679ec70f41bec301bb567e6716a9a841,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.099922,51.381086,On or near NEW ROAD,E01000812,Bromley 028D,Investigation complete; no suspect identified
a56ef26e574f5bb26badf67d6ac65c74a614254d04d8eaaa8345a4f46d790531,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.050216,51.457988,On or near RYE ROAD,E01004016,Southwark 029B,Investigation complete; no suspect identified
4f001f93562a782f8497af89adb76228c4d897f57de8b4f9385fa62e8929b18d,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.027875,51.503102,On or near MILL ROAD,E01003609,Newham 037A,Investigation complete; no suspect identified
123b35e23a3d64e209b99dc6cae0e340b93af85870ef254f3468b33c3cda5d2d,2014-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
123b35e23a3d64e209b99dc6cae0e340b93af85870ef254f3468b33c3cda5d2d,2014-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
49f75a2dc2de8924ad5677ccd8f6ef483d869059ea98e1697a69745e947baf57,2014-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
230418eb3b79cb11c22fad36eee620fa381c9e7573cbcd0e6a50d628cd529ecf,2014-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bd87e8c65a03c474dc31dfb8a2e9eddc2d0dc0134ad0ffc31d2b104250810feb,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.116953,51.510724,On or near Further/Higher Educational Building,E01004735,Westminster 018B,Suspect charged
bd87e8c65a03c474dc31dfb8a2e9eddc2d0dc0134ad0ffc31d2b104250810feb,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.116953,51.510724,On or near Further/Higher Educational Building,E01004735,Westminster 018B,Suspect charged
8da1cc379cb470ca18014e922da7009c9466d565a889fbe2f8d021723e36e787,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.207592,51.511631,On or near LANSDOWNE CRESCENT,E01002875,Kensington and Chelsea 007E,Investigation complete; no suspect identified
0b7e88558b24c1a87f880e2962730c364dc576b22370ce41f9095bf97af274c8,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.024884,51.553926,On or near BROWNLOW ROAD,E01003543,Newham 001A,Investigation complete; no suspect identified
d3f79fd44252db97fadb91173dc95e0b189923249525fcb388f4a2623fb2cd20,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.035648,51.522311,On or near GLEN ROAD,E01003601,Newham 028A,Investigation complete; no suspect identified
d3f79fd44252db97fadb91173dc95e0b189923249525fcb388f4a2623fb2cd20,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.035648,51.522311,On or near GLEN ROAD,E01003601,Newham 028A,Investigation complete; no suspect identified
6778c4ca79f042a9ff46bb9087ff14f42085e614092226fb3d1aca6421ecc779,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.060446,51.547948,On or near ST WINEFRIDE'S AVENUE,E01003575,Newham 005B,Investigation complete; no suspect identified
6778c4ca79f042a9ff46bb9087ff14f42085e614092226fb3d1aca6421ecc779,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.060446,51.547948,On or near ST WINEFRIDE'S AVENUE,E01003575,Newham 005B,Investigation complete; no suspect identified
8f27774c25f4b865fb3c3de9b243780175e6ddc52e9af1d66fc26ec63ec52902,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.106742,51.621346,On or near PELLIPAR CLOSE,E01001565,Enfield 029D,Investigation complete; no suspect identified
c196ad3c1e19a97eff215504bbc5870449c7807089a6c88e7e3686f98d121888,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.110374,51.61877,On or near Parking Area,E01001566,Enfield 029E,Investigation complete; no suspect identified
b56a079838674eae11e8af0e54f334bc7f8c8201052199e8482077a705e4507e,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.084164,51.637445,On or near BERKELEY GARDENS,E01001455,Enfield 021F,Investigation complete; no suspect identified
6b9bc7f0624d89caa35415fbfd5428355eec3fdc6102bdbb522c64096a5b3676,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.062538,51.640642,On or near LEE ROAD,E01001401,Enfield 016A,Investigation complete; no suspect identified
b36b511f866ac85902689d2b01075c7d7bbada68927879da17e4c48c9f048e0a,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.064954,51.663667,On or near MAHON CLOSE,E01001409,Enfield 005B,Investigation complete; no suspect identified
c26e2f20668fef55663f061f036f8aee705e55119186d10901dfeb78006fa3b4,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.142775,51.642137,On or near Sports/Recreation Area,E01001420,Enfield 020B,Investigation complete; no suspect identified
7e7a37d59a3e60aac10f88a28b0c2fa5e767c42a8648d42b7dae25d30f42dc00,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.120094,51.553369,On or near FULLER ROAD,E01000022,Barking and Dagenham 008B,Investigation complete; no suspect identified
9741f4d75c0aca5cb091deeaa9d16278da9cf8e998828aa26db34d302f0e5782,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.012616,51.566835,On or near BARCLAY ROAD,E01004441,Waltham Forest 024E,Investigation complete; no suspect identified
9741f4d75c0aca5cb091deeaa9d16278da9cf8e998828aa26db34d302f0e5782,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.012616,51.566835,On or near BARCLAY ROAD,E01004441,Waltham Forest 024E,Investigation complete; no suspect identified
557c13ccf47f8358d119fc5113ddbbf635bdd26e6fe09c364783dac22ee01bb1,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.008706,51.620183,On or near FRIDAY HILL,E01004390,Waltham Forest 003E,Investigation complete; no suspect identified
42487cbbef90cd966a854c519051dd51530a16e1767d36548050cfd1a9858de0,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.02399,51.5653,On or near BLAKE HALL CRESCENT,E01003791,Redbridge 027B,Investigation complete; no suspect identified
56f775062e6e2a03c574137441be55e2226efcc9761a140a0dea96da8b4e8100,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.062316,51.519968,On or near CASTLEMAINE STREET,E01004205,Tower Hamlets 013A,Investigation complete; no suspect identified
56f775062e6e2a03c574137441be55e2226efcc9761a140a0dea96da8b4e8100,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.062316,51.519968,On or near CASTLEMAINE STREET,E01004205,Tower Hamlets 013A,Investigation complete; no suspect identified
56f775062e6e2a03c574137441be55e2226efcc9761a140a0dea96da8b4e8100,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.062316,51.519968,On or near CASTLEMAINE STREET,E01004205,Tower Hamlets 013A,Investigation complete; no suspect identified
71363457dddc4bdf14b87f0bed2e02a091a5c7034913b393e709750af2c282ce,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.14321,51.353879,On or near HILLSIDE GARDENS,E01004179,Sutton 017E,Investigation complete; no suspect identified
0c015accedb253e55d294126d57b4cd24ddbad728b47bd401d0aa2d87c43c964,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.168271,51.379822,On or near ELM CLOSE,E01004163,Sutton 005B,Suspect charged
6ab5c57d72cee585974717dfb345d38fe8f020bd1bf761622687e08fe30fe356,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.172447,51.464991,On or near EVERSLEY AVENUE,E01000371,Bexley 014E,Suspect charged
2ddc8ac1b44a55a2043edc5265829284ecb29e13ea7f7f3e11cb8e6094bd1f47,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.149658,51.488918,On or near STICKLAND ROAD,E01000338,Bexley 003E,Investigation complete; no suspect identified
3082219e783d528721a2adc82598f0df4ab6e90233326897a0c3004dd9ae5dd2,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.119735,51.472377,On or near OKEHAMPTON CRESCENT,E01000451,Bexley 009F,Investigation complete; no suspect identified
61efa5f65b131640a8a0abdea716342db9af697e00a52cb1a09a6664e1593ef9,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.113944,51.46017,On or near ROSEACRE ROAD,E01000388,Bexley 016A,Investigation complete; no suspect identified
48a82eb08e6cc5af16bfa021fee885d74ff73a10226021b2175eb3a95ba4105a,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.080045,51.399246,On or near HOLMESDALE ROAD,E01001144,Croydon 007E,Suspect charged
0604e5b719735d6ea3b8d857f00dff681f275e5acf9b6c672137a98d0f5dc862,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.117563,51.322967,On or near LODGE HILL,E01001067,Croydon 041D,Suspect charged
cef1b655b09e40b769085b10caa7a1844d584b943ceca6a4dae19a9dba5aede0,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.10904,51.361273,On or near Sports/Recreation Area,E01001169,Croydon 028B,Suspect charged
b62d8c577a4b066d9bd2bb7d38308a06f4cd51753c5f647b265fda419ebbb706,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.062662,51.434842,On or near Petrol Station,E01001599,Greenwich 032B,Investigation complete; no suspect identified
2ef7149644d8bec1ff99e17443e89e6d5b916184e3e8bd1bbd48df90b8320d61,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.088894,51.483785,On or near PARKDALE ROAD,E01001635,Greenwich 007D,Investigation complete; no suspect identified
6a0a3c8bddace8edb33639a80ae34ed82b6125564245de2fdaac9a7f4a6919a6,2014-06,Metropolitan Police Service,Metropolitan Police Service,0.058801,51.4517,On or near BLUNTS ROAD,E01001609,Greenwich 027D,Investigation complete; no suspect identified
878b987fc052742c379ce702fbf4d702078b996d60c97cd92f748e2605c35fb0,2014-06,Metropolitan Police Service,Metropolitan Police Service,-0.011113,51.477025,On or near CIRCUS STREET,E01001641,Greenwich 038B,Investigation complete; no suspect identified
