Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
031351df006ed491bdd6d613a53843b98c89ec1dc81762b44f32ac950739bcdb,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.199101,51.550358,On or near THE BROADWAY,E01002365,Havering 023D,Suspect charged
1bd92526dfdc4705754db05d6035bec4241a8a09c283e6cf97f31dcfa58791cf,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.484393,51.601319,On or near DOVEDALE CLOSE,E01002441,Hillingdon 003D,Investigation complete; no suspect identified
408080aa1e84258393cfe883854f2f616bc6706173aa870fbd5ebce768921341,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.43184,51.612435,On or near Sports/Recreation Area,E01002472,Hillingdon 002A,Investigation complete; no suspect identified
408080aa1e84258393cfe883854f2f616bc6706173aa870fbd5ebce768921341,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.43184,51.612435,On or near Sports/Recreation Area,E01002472,Hillingdon 002A,Investigation complete; no suspect identified
4f406d63d78a0e6085b29701ee430ac2e43526e6d7826f25a439a13591b1ffba,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.105521,51.495531,On or near WEST SQUARE,E01003933,Southwark 034C,Investigation complete; no suspect identified
5b043023aed4181e2853e5dc7b22a04452ca6387f61e5921b00f85853dcec2e5,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.068308,51.54664,On or near STANNARD ROAD,E01001749,Hackney 020B,Investigation complete; no suspect identified
3c601f3f41a6424bcd479b2c6aa743329318fce765f7845e377d7d082186b378,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.102398,51.521451,On or near ST JOHN'S LANE,E01002724,Islington 022D,Investigation complete; no suspect identified
a4ecc7c65e9bc6a06f360a1e31df1e6fccdcbf6be20ee5d3b3810464ee8eaf39,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.00597,51.627271,On or near KING'S ROAD,E01004389,Waltham Forest 003D,Investigation complete; no suspect identified
e910f082983700384ac789ae750cb05baca4f4477f5d058bf7eb4ca76502424c,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.125225,51.516692,On or near WEST CENTRAL STREET,E01000918,Camden 028C,Offender given a caution
4f8f2182ad99913d2391a6ae803c6d9c65ea9d1dd3a4454740a10d0ea718f2d0,2013-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
03d85adf4748d3181c194c74fa6c4b3dafa0eaa5a53d1d46d117796e85bc196e,2013-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
398ffe6ebd06c5cfb66aec9d161eed2898b97a044c9c86ae2fe5bdfa3b0c6ff6,2013-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
56f9d1d2efd663586fe9d00e646917f1c7f26a89e865656764e86a372423e7cc,2013-12,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
d154e92b487acbb7d5c609f37dad44dce33f9ae7ce5fdb52ba20b2eb59b09fc5,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.114389,51.505458,On or near WATERLOO ROAD,E01003016,Lambeth 036C,Investigation complete; no suspect identified
d164f611c480b285e8605440acdc4a76dc5c253fa723304a855f8b98526d1cf6,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.141079,51.516693,On or near MARGARET STREET,E01004765,Westminster 013D,Investigation complete; no suspect identified
d3878c94ea9bfb21c68e6c1be5971386cbb6f9d6e4b8f00b0026942e18cc71df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.134478,51.512811,On or near Supermarket,E01033596,Westminster 013F,Investigation complete; no suspect identified
d3878c94ea9bfb21c68e6c1be5971386cbb6f9d6e4b8f00b0026942e18cc71df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.134478,51.512811,On or near Supermarket,E01033596,Westminster 013F,Investigation complete; no suspect identified
49ed476404bbafc66607b547f9683a4c4995ea272f66bbc70bf6745c21096b4a,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.194888,51.515483,On or near BOTT'S MEWS,E01004653,Westminster 014A,Investigation complete; no suspect identified
23856761ca0c2dd108de509a66ce6e57e26afc1f71a0920d397362708389a9bf,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.142178,51.511288,On or near COACH AND HORSES YARD,E01033595,Westminster 013E,Investigation complete; no suspect identified
16797d2a7d822ef8e377b0282cf374567ff7225d4979c1b52eed45af7c22c284,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.177197,51.513474,On or near WESTBOURNE CRESCENT,E01004682,Westminster 016B,Investigation complete; no suspect identified
163e2f3ac1a409ff0b4bcacd377ef9ee91cf4a96fca90e769d28ae5c0a471e9e,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.161726,51.519006,On or near WYNDHAM YARD,E01004662,Westminster 012D,Investigation complete; no suspect identified
6b6d346d8157c3f02738bc8472157439571aada273d0b5524efa4641cda7ed7e,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.228155,51.491998,On or near ANGEL WALK,E01001899,Hammersmith and Fulham 013D,Investigation complete; no suspect identified
aefee5bbca3e4b919e92e356504376f01a37a93abbcb8abf9d56829a5b91b453,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.21008,51.490429,On or near TALGARTH ROAD,E01001914,Hammersmith and Fulham 014D,Investigation complete; no suspect identified
fe54fd43586cbc09693399702114b94957671648b2847b940c6c4f1f2ce32988,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.226466,51.492476,On or near Shopping Area,E01001898,Hammersmith and Fulham 013C,Investigation complete; no suspect identified
ffefea5da7ec7eca894341e074c98c9ed2f0a5c172336b02e0b2fbe97c9cc504,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.212749,51.478555,On or near WYFOLD ROAD,E01001902,Hammersmith and Fulham 019C,Investigation complete; no suspect identified
0e9b843401a969d302f92e2a03f1d06e60e33c7f79e15df05faaf10deed67672,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.192006,51.503452,On or near HOLLAND PLACE,E01002826,Kensington and Chelsea 008C,Investigation complete; no suspect identified
51e169ca7221241fbbbdcedd0fce4652657c6989a6eda4d50a0edf7e60a9c3cc,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.174238,51.487619,On or near OLD CHURCH STREET,E01002910,Kensington and Chelsea 019C,Investigation complete; no suspect identified
51e169ca7221241fbbbdcedd0fce4652657c6989a6eda4d50a0edf7e60a9c3cc,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.174238,51.487619,On or near OLD CHURCH STREET,E01002910,Kensington and Chelsea 019C,Investigation complete; no suspect identified
62612fb9c307ead1ba219cceb8950250cc507c7d002315deb4479beefb4cfb0b,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.217938,51.511303,On or near FRESTON ROAD,E01002870,Kensington and Chelsea 005A,Investigation complete; no suspect identified
62612fb9c307ead1ba219cceb8950250cc507c7d002315deb4479beefb4cfb0b,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.217938,51.511303,On or near FRESTON ROAD,E01002870,Kensington and Chelsea 005A,Investigation complete; no suspect identified
d6b3281508364af78683e07cf35f08ee1221f2b011148d90950ac6243d5c91fa,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.185834,51.494499,On or near Parking Area,E01002835,Kensington and Chelsea 016C,Investigation complete; no suspect identified
8f432c8c4c6f5b0a97b15d4c8c543b15d372aa85a2bb21302aaf7cd849ba1a14,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.178666,51.487122,On or near Supermarket,E01002911,Kensington and Chelsea 019D,Investigation complete; no suspect identified
8f432c8c4c6f5b0a97b15d4c8c543b15d372aa85a2bb21302aaf7cd849ba1a14,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.178666,51.487122,On or near Supermarket,E01002911,Kensington and Chelsea 019D,Investigation complete; no suspect identified
8f432c8c4c6f5b0a97b15d4c8c543b15d372aa85a2bb21302aaf7cd849ba1a14,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.178666,51.487122,On or near Supermarket,E01002911,Kensington and Chelsea 019D,Investigation complete; no suspect identified
83698384c1143e7cfbda22de7280ab3b132386d7c80e48128cf0bb3552db0509,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.158466,51.529314,On or near FIRST AVENUE,E01000090,Barking and Dagenham 020E,Investigation complete; no suspect identified
e005d738ec7f32e36112451007184a72226edf2150824eeba98d045d1e6cef98,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.133362,51.578883,On or near PORTLAND GARDENS,E01000029,Barking and Dagenham 001C,Investigation complete; no suspect identified
7a35cadaa9aa8b4fcb0e282175e76e104c3ed08e7e59cc54f9a9b9c345f194cb,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.14784,51.567576,On or near LANESIDE AVENUE,E01000111,Barking and Dagenham 002D,Investigation complete; no suspect identified
0ac92a4846614b5825c14c09492ed0406ebc9088c75af59c1b19fdbe7acc1baf,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.129799,51.561025,On or near VALENCE AVENUE,E01000099,Barking and Dagenham 023E,Investigation complete; no suspect identified
0dafd8d1a341897df3eb7e07c4adbed8cca14bb672e6d5dc67fd7934a6a330f5,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.076951,51.536326,On or near EAST STREET,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
0dafd8d1a341897df3eb7e07c4adbed8cca14bb672e6d5dc67fd7934a6a330f5,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.076951,51.536326,On or near EAST STREET,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
0dafd8d1a341897df3eb7e07c4adbed8cca14bb672e6d5dc67fd7934a6a330f5,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.076951,51.536326,On or near EAST STREET,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
13de00814bd685c68a3da9f95c11d4ba3501aa6044b211d236eeb356ce4dfa60,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.129799,51.561025,On or near VALENCE AVENUE,E01000099,Barking and Dagenham 023E,Investigation complete; no suspect identified
13de00814bd685c68a3da9f95c11d4ba3501aa6044b211d236eeb356ce4dfa60,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.129799,51.561025,On or near VALENCE AVENUE,E01000099,Barking and Dagenham 023E,Investigation complete; no suspect identified
b9fb934772a914df111193863a194ae6275bf9770d75731bfa0e93f8edddabf0,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.114017,51.533685,On or near MAPLESTEAD ROAD,E01000096,Barking and Dagenham 022D,Investigation complete; no suspect identified
d16f171644b541cc85bf6a6277657fb454c68273489c153596b42f99a397d5db,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.116633,51.549348,On or near CONSTABLE MEWS,E01000025,Barking and Dagenham 008E,Investigation complete; no suspect identified
a3c73d6125dbdbae237bafdda00c5c0f0b2c9a91595e5679967e65fd3a6feea8,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.116666,51.554725,On or near VICAR'S WALK,E01000021,Barking and Dagenham 008A,Investigation complete; no suspect identified
ae5e55d8f353954c286cc10a12812e1ed7f7cdd4289b7b754bc331695a97219f,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.057488,51.56397,On or near MUSTON ROAD,E01001798,Hackney 028A,Suspect charged
8c9f1315a3ca3332f16b156010429fb4e66903947a89953fa4f7082ec0574aad,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.05428,51.539403,On or near TUDOR GROVE,E01001839,Hackney 023C,Investigation complete; no suspect identified
83b5cd62385100cff9b8305ca30d60f78d5f3eae8bac2d91262cb6aef82b53d4,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.055998,51.555942,On or near DOWNS ROAD,E01033713,Hackney 010G,Investigation complete; no suspect identified
955d7eec9e5a2534a086bae65ec723cb7396826f060d46e34a8229e760542a2a,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.095511,51.571113,On or near Nightclub,E01001813,Hackney 002E,Investigation complete; no suspect identified
955d7eec9e5a2534a086bae65ec723cb7396826f060d46e34a8229e760542a2a,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.095511,51.571113,On or near Nightclub,E01001813,Hackney 002E,Investigation complete; no suspect identified
955d7eec9e5a2534a086bae65ec723cb7396826f060d46e34a8229e760542a2a,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.095511,51.571113,On or near Nightclub,E01001813,Hackney 002E,Investigation complete; no suspect identified
68c81af301065d65f2c58e89a287b533fa529abb895f055693c73d4e09f7b18b,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.077825,51.527507,On or near Nightclub,E01033706,Hackney 027F,Investigation complete; no suspect identified
68c81af301065d65f2c58e89a287b533fa529abb895f055693c73d4e09f7b18b,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.077825,51.527507,On or near Nightclub,E01033706,Hackney 027F,Investigation complete; no suspect identified
6f84b2b5b48f8a7b022b60a92ff1625f53ab64c4e6b747c3ba1ff62a534266df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.075948,51.537512,On or near ACTON MEWS,E01001773,Hackney 025E,Investigation complete; no suspect identified
6f84b2b5b48f8a7b022b60a92ff1625f53ab64c4e6b747c3ba1ff62a534266df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.075948,51.537512,On or near ACTON MEWS,E01001773,Hackney 025E,Investigation complete; no suspect identified
6f84b2b5b48f8a7b022b60a92ff1625f53ab64c4e6b747c3ba1ff62a534266df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.075948,51.537512,On or near ACTON MEWS,E01001773,Hackney 025E,Investigation complete; no suspect identified
6f84b2b5b48f8a7b022b60a92ff1625f53ab64c4e6b747c3ba1ff62a534266df,2013-12,Metropolitan Police Service,Metropolitan Police Service,-0.075948,51.537512,On or near ACTON MEWS,E01001773,Hackney 025E,Investigation complete; no suspect identified
7f0debdd62f765003d3bcf804c532a6b32f08e20c22fef9479480f5edb9cacbd,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.022559,51.609442,On or near JOHNSTON ROAD,E01003750,Redbridge 001G,Investigation complete; no suspect identified
ccad2ab5a1212562b138ae76a7fc83cce9abb6f2343bb5c616535aa2f7a9bc11,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.077597,51.547016,On or near SOUTHBOURNE GARDENS,E01003734,Redbridge 033B,Investigation complete; no suspect identified
6ba340b783a443536010f422abaa7b077307bded4b72b675c93bb650b9a2e673,2013-12,Metropolitan Police Service,Metropolitan Police Service,0.019359,51.595594,On or near SOUTHEND ROAD (NORTH CIRCULAR ROAD),E01003673,Redbridge 007F,Investigation complete; no suspect identified
