Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c711e73d0686c80c707d62324833f5c5f59d342e902809f27f9433cb09649f76,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.1312,51.563824,On or near CLARIDGE ROAD,E01000097,Barking and Dagenham 023C,Investigation complete; no suspect identified
c3ad2ebee5dc2f85a3790ef4fc13b3607b3680dd8ad2493970a8145a662d3e10,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.130914,51.566958,On or near SPRING CLOSE,E01000112,Barking and Dagenham 002E,Investigation complete; no suspect identified
4e4ef517272d0cfaa1ad0f1d247962ec8f6ccce0d882287d944e65f983e095a0,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.137716,51.547707,On or near PAGE CLOSE,E01000079,Barking and Dagenham 009E,Investigation complete; no suspect identified
1993ef95a85f128858a15cf0c444f21c4420d90aa39d148af39d2b75bab3d05f,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.139251,51.545377,On or near TERRACE WALK,E01000014,Barking and Dagenham 013B,Investigation complete; no suspect identified
bddaeb79246188de7e520e700ec492fb9d62c3263149edab72607cc949159bd8,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.147732,51.562542,On or near Parking Area,E01000114,Barking and Dagenham 004E,Investigation complete; no suspect identified
d44f0480b8f4ce4bdd9ece7fee36c21272e3dab28264d8a1d7192820259eeff8,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.141985,51.56396,On or near LAMBERHURST ROAD,E01000109,Barking and Dagenham 004D,Investigation complete; no suspect identified
e9f174c5644658fdb45c2dd63aa603b4c3b21056cb09677ff8d624e9bdde6e54,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.162661,51.545406,On or near REEDE ROAD,E01000036,Barking and Dagenham 010B,Investigation complete; no suspect identified
8977b882605514a476df95b6e1d83a73dd6bedad5d285d14d52e9580c7b79f96,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.137716,51.547707,On or near PAGE CLOSE,E01000079,Barking and Dagenham 009E,Investigation complete; no suspect identified
4f4418d02a76c690a1a361f6946b15c8891bf9247af1665c4fd85e36d323d2c4,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.131408,51.564575,On or near KEMP ROAD,E01000097,Barking and Dagenham 023C,Investigation complete; no suspect identified
59053d4ce4a6b07a2b8fd27c2ad41308eae48374829c1c4b0b4fa8fc46d59b8a,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.023582,51.613519,On or near HAMPTON ROAD,E01004453,Waltham Forest 006B,Investigation complete; no suspect identified
