Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
00371c8f99ea799b66262be8aa70a89a7bb41ba436bcc620faed881eb2e87711,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.202124,51.47627,On or near EPPLE ROAD,E01001950,Hammersmith and Fulham 021D,Investigation complete; no suspect identified
3905757943957e13e2cb5034ceeb420ceae522701b57c362449954f21d6945d9,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.199677,51.479542,On or near HECKFIELD PLACE,E01001953,Hammersmith and Fulham 021F,Investigation complete; no suspect identified
3905757943957e13e2cb5034ceeb420ceae522701b57c362449954f21d6945d9,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.199677,51.479542,On or near HECKFIELD PLACE,E01001953,Hammersmith and Fulham 021F,Investigation complete; no suspect identified
3905757943957e13e2cb5034ceeb420ceae522701b57c362449954f21d6945d9,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.199677,51.479542,On or near HECKFIELD PLACE,E01001953,Hammersmith and Fulham 021F,Investigation complete; no suspect identified
0ddafbee0e52bb6c367ce19d1f8b72deb115a9a9f4b61ab7758e0f896540d2df,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.220176,51.494557,On or near BUTE GARDENS,E01001869,Hammersmith and Fulham 010D,Investigation complete; no suspect identified
f92bd0ccb7b9618b8c64561080d7bb7f43f60730e367ec0f077356da8c7608a6,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.131365,51.415192,On or near RAMA CLOSE,E01003147,Lambeth 034E,Investigation complete; no suspect identified
a2269989d9c29a1ca17e48a5e867d464d55b0e699ba64d08afcf3365a3c3a234,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.126834,51.457052,On or near MARGATE ROAD,E01003019,Lambeth 015A,Investigation complete; no suspect identified
1b549a3aaa9cc1914448bb4b0e23d326a41f4e2c6fa53c3ee74a7269e080e71b,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.476629,51.511783,On or near WIMPOLE ROAD,E01002554,Hillingdon 022F,Investigation complete; no suspect identified
d633e3a73f6539edf9b622f72ce6e741bd61b5349e396a92531730f3036d8fd3,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.29501,51.468422,On or near KEW ROAD,E01003860,Richmond upon Thames 002E,Investigation complete; no suspect identified
60792e77af69ace493db645c380b4248682fa0a217d31dafaf3a5293442ca967,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.411791,51.448427,On or near MANOR PLACE,E01002593,Hounslow 024B,Investigation complete; no suspect identified
