Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fe819542281d8afeefe572065c731c5820a379f0b462460665902a5bde16b81b,2015-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fe819542281d8afeefe572065c731c5820a379f0b462460665902a5bde16b81b,2015-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
bb49ec6c932153fdaaea629cb5f66ecc8a65224f2860ea8d0cf8a42f38d75bba,2015-06,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0e499cac43bef6e3ab05c6eba1ba71e5f04295cffbe01d04e3d4d3dd96f12bf1,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.24592,51.5148,On or near HILARY ROAD,E01001875,Hammersmith and Fulham 001B,Investigation complete; no suspect identified
6c192ee7b1875420428365aa1327c529703bd8ffac7c3320054374f4fc3e2430,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.201667,51.495957,On or near PEMBROKE GARDENS,E01002817,Kensington and Chelsea 011D,Investigation complete; no suspect identified
db475450ded32b631eb068d847902d7892bc1da8802eb53d9bd6cc45b05a8611,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.210512,51.520237,On or near ST LAWRENCE TERRACE,E01002856,Kensington and Chelsea 004E,Investigation complete; no suspect identified
b49268eef58e71650c781f318145c147e4f56b4e401737f76e5526def27099d4,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.188005,51.559298,On or near UPPER RAINHAM ROAD,E01002322,Havering 021C,Investigation complete; no suspect identified
458afc369b59eadcfcd6be3ed6e1ee1285d3a2afac65499c216d9a8ad42e99f9,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.274082,51.5666,On or near MOOR LANE,E01002256,Havering 018B,Investigation complete; no suspect identified
a866ef391edfc4883d45ea93d5ee784b8f52937e31aa326b1219a3ce92d17ef2,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.278947,51.56664,On or near LABURNHAM CLOSE,E01002252,Havering 018A,Investigation complete; no suspect identified
1ec93b97289a08f5a51d6b70f14eb1c6b4258c44c226d9590d77185afc5df16a,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.008339,51.551963,On or near ARUNDEL CLOSE,E01004332,Waltham Forest 028F,Investigation complete; no suspect identified
1ec93b97289a08f5a51d6b70f14eb1c6b4258c44c226d9590d77185afc5df16a,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.008339,51.551963,On or near ARUNDEL CLOSE,E01004332,Waltham Forest 028F,Investigation complete; no suspect identified
82e5869acec05c2170739c382495616ba907c3b2e469e89f995fa08728a388e8,2015-06,Metropolitan Police Service,Metropolitan Police Service,-8.6e-05,51.608157,On or near Parking Area,E01004388,Waltham Forest 007F,Investigation complete; no suspect identified
82e5869acec05c2170739c382495616ba907c3b2e469e89f995fa08728a388e8,2015-06,Metropolitan Police Service,Metropolitan Police Service,-8.6e-05,51.608157,On or near Parking Area,E01004388,Waltham Forest 007F,Investigation complete; no suspect identified
e4770be10514660926a02e9aa40b2f16445cb2281adecfce7d77c1800c7b4a73,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.000525,51.600143,On or near WADHAM ROAD,E01004383,Waltham Forest 007D,Investigation complete; no suspect identified
de3ffc9f37e096c494e968e03846c344e14ed6bccaa5a20f9e2ab92cf3df3a55,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.003182,51.619747,On or near OTTERBOURNE ROAD,E01004384,Waltham Forest 003A,Investigation complete; no suspect identified
0bad301556af42a33b8270f64c0c7d5014c038aea8f16ccbcc0ad38bda40391e,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.016844,51.566529,On or near LEYBOURNE ROAD,E01004441,Waltham Forest 024E,Investigation complete; no suspect identified
d501c91c0a9f6e7e812c9a10d74091f2b2cfbd8600658b8e1bb2a18568653ec0,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.009555,51.560907,On or near COBDEN ROAD,E01004334,Waltham Forest 024B,Investigation complete; no suspect identified
8d5e2a7dcb66748e5d1f3e680552a61a369af2c3b00b20bed6bfcb8c525dca8e,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.076814,51.528597,On or near WATERSON STREET,E01033706,Hackney 027F,Investigation complete; no suspect identified
6cf232f2e45574da4187bdf241d1c7f850dc6afa5b39af034fb5dbe379b91a6b,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.083404,51.527878,On or near Theatre/Concert Hall,E01033708,Hackney 027G,Investigation complete; no suspect identified
b7016aac343ec537a3d911f4599cc8dde13459aeaa97615f51a32f9ca7f02d10,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.08584,51.526496,On or near VINCE STREET,E01001780,Hackney 027D,Investigation complete; no suspect identified
11fe8551b4f230f560257d1ffc3ca1fec1119619c7f22a243c1d9b6a8b74755a,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.097558,51.566326,On or near GLOUCESTER DRIVE,E01001715,Hackney 007A,Investigation complete; no suspect identified
84363d7c570a180b1fd50b1d3cf06ead4527da2d02777b3f35f8daf3c19edff9,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.088259,51.59464,On or near FOREST ROAD,E01003700,Redbridge 006C,Suspect charged
84363d7c570a180b1fd50b1d3cf06ead4527da2d02777b3f35f8daf3c19edff9,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.088259,51.59464,On or near FOREST ROAD,E01003700,Redbridge 006C,Suspect charged
8df65dc3dbbec805680a571aae72989d9607444c04bc34e554ac61a4055c81dd,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.087849,51.554208,On or near HAMPTON ROAD,E01003739,Redbridge 031C,Investigation complete; no suspect identified
5a91534c703746ebe0ad743b84aa26328c16b8068750c23b760594c25d7a0b4a,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.04392,51.583722,On or near LAKESIDE AVENUE,E01003677,Redbridge 036C,Investigation complete; no suspect identified
162cab917319f1b9506f47166fb97a83b4e9444ed95bd651aed4f8066abd83f9,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.063086,51.527643,On or near POLLARD STREET,E01004204,Tower Hamlets 005D,Investigation complete; no suspect identified
bda6e2b896741482d02cce7f0390cd922088e54e4896c1e685c45dfabbce6214,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.087104,51.438259,On or near BROOKEND ROAD,E01000463,Bexley 025E,Investigation complete; no suspect identified
b7e6e10232b34e00b3846ed9685a390339f292a4616586fb5d02b888a92a55d5,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.166455,51.461594,On or near MANOR WAY,E01000325,Bexley 014A,Suspect charged
6a9f9027eb15e08dbf1e3e8516e057b2523d4e4f4d245e68b9ab6c639e58bb3b,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.195482,51.456261,On or near CRAYFORD WAY,E01000374,Bexley 019A,Investigation complete; no suspect identified
312f142f4e7d06675c8c6cd7acd40ee99ad17d92c312bdf109f82ee072afe1b2,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.060793,51.614796,On or near LINNELL ROAD,E01001432,Enfield 033B,Investigation complete; no suspect identified
c7d020360633d911c367ccfd631967db81932330129134d7afbae7ddbc7f04ef,2015-06,Metropolitan Police Service,Metropolitan Police Service,-0.094422,51.62059,On or near HEDGE LANE,E01001496,Enfield 026D,Investigation complete; no suspect identified
581e5d6c5eb5cf46a9b979609fd73f04f188a50f87b646f218eab5cfdabfb1db,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near GIBBFIELD CLOSE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
581e5d6c5eb5cf46a9b979609fd73f04f188a50f87b646f218eab5cfdabfb1db,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near GIBBFIELD CLOSE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
581e5d6c5eb5cf46a9b979609fd73f04f188a50f87b646f218eab5cfdabfb1db,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near GIBBFIELD CLOSE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
581e5d6c5eb5cf46a9b979609fd73f04f188a50f87b646f218eab5cfdabfb1db,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near GIBBFIELD CLOSE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
581e5d6c5eb5cf46a9b979609fd73f04f188a50f87b646f218eab5cfdabfb1db,2015-06,Metropolitan Police Service,Metropolitan Police Service,0.135866,51.587336,On or near GIBBFIELD CLOSE,E01000027,Barking and Dagenham 001A,Investigation complete; no suspect identified
