Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a7156e4b8d85e3396058103623905a73b8d2def2253bd3a1c7e2faf7782ea28c,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.122321,51.459714,On or near ACRE LANE,E01003058,Lambeth 015E,Investigation complete; no suspect identified
52adb29d2777ab5bf6d550ac896f4234f0e602c22833bea9dceef60126675c53,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.287851,51.488893,On or near KEW ROAD,E01002566,Hounslow 003C,Investigation complete; no suspect identified
52adb29d2777ab5bf6d550ac896f4234f0e602c22833bea9dceef60126675c53,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.287851,51.488893,On or near KEW ROAD,E01002566,Hounslow 003C,Investigation complete; no suspect identified
8add3c66d27e1b344c82a76c17d869960af1d20ba29eecb45726c1c8365b2a3a,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.046546,51.552988,On or near GLENARM ROAD,E01001796,Hackney 011E,Offender given community sentence
668e8c7098e2b07957765806d514684416a8634be6e0abc6177919365093cfca,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.133213,51.494401,On or near MAUNSEL STREET,E01004733,Westminster 020C,Investigation complete; no suspect identified
618d0da7cdfd134c100f78bbe5a8db63514811d08202853436e9d5bef5958131,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.197029,51.527683,On or near SHIRLAND ROAD,E01004675,Westminster 005B,Suspect charged
618d0da7cdfd134c100f78bbe5a8db63514811d08202853436e9d5bef5958131,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.197029,51.527683,On or near SHIRLAND ROAD,E01004675,Westminster 005B,Suspect charged
618d0da7cdfd134c100f78bbe5a8db63514811d08202853436e9d5bef5958131,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.197029,51.527683,On or near SHIRLAND ROAD,E01004675,Westminster 005B,Suspect charged
618d0da7cdfd134c100f78bbe5a8db63514811d08202853436e9d5bef5958131,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.197029,51.527683,On or near SHIRLAND ROAD,E01004675,Westminster 005B,Suspect charged
618d0da7cdfd134c100f78bbe5a8db63514811d08202853436e9d5bef5958131,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.197029,51.527683,On or near SHIRLAND ROAD,E01004675,Westminster 005B,Suspect charged
8249feb4aae37c348a4f918d6dafa4cbbca4f0c524336a264ca3cde09167957e,2017-06,Metropolitan Police Service,Metropolitan Police Service,-0.180717,51.514832,On or near CHILWORTH STREET,E01004697,Westminster 016D,Investigation complete; no suspect identified
