Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
596e1c4e77497d5a51994dcd88f388204dd8fe20ea1fe2d9c2cee607d644943d,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.052716,51.477391,On or near POMEROY STREET,E01003338,Lewisham 006A,Investigation complete; no suspect identified
d7ade0c977f5894fdc20f5f81ad4d1a6f776ff9847a9916673ada8235a351ebf,2021-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d7f169a35dd81d00a4feafba4fe76782e07478cef94c0ba15d4eb59ae1dc6ad0,2021-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
fe48f899e2a07f8d8ec704b7c0d402be8ac004a712c3033c983e2e880d10718f,2021-08,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
43fbef75aced4816f244b00c557518d17defab6d50fde8298270ebaceb54ea6e,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.141392,51.517147,On or near LITTLE PORTLAND STREET,E01004765,Westminster 013D,Investigation complete; no suspect identified
afe05988f9d4a1aa7f640f3b364224cd7b1e16520a7df5402b642fb3b6d8d0c2,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.136128,51.492155,On or near Hospital,E01004747,Westminster 021E,Investigation complete; no suspect identified
7405cd6143ca83763a152b68283314403239da77a3295dfe9d507eaa7e3e740f,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.183941,51.47108,On or near IMPERIAL CRESCENT,E01032790,Hammersmith and Fulham 023F,Investigation complete; no suspect identified
5a3b2917c150fea2481c2478750264a20c3faa8f2343362605ace1298efea960,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.086858,51.601564,On or near WALTHEOF GARDENS,E01002096,Haringey 005C,Investigation complete; no suspect identified
02dc74ab248f8f26ca32aac7a4d4e8310b5b38338008b891b3db30f1570136fe,2021-08,Metropolitan Police Service,Metropolitan Police Service,0.002022,51.536882,On or near MCEWAN WAY,E01003634,Newham 020D,Investigation complete; no suspect identified
eae11ddc5878a6a8deec4e256fc4757c5c56dac28dc3f1e89e9e17d03f013443,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.015285,51.602399,On or near EMPRESS AVENUE,E01004344,Waltham Forest 008B,Suspect charged
2aeec2b9584b123388effe51041ce68ac6773ca43bfea0ec31f72a1454bb745b,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.084023,51.563939,On or near CHESTNUT CLOSE,E01001806,Hackney 008D,Investigation complete; no suspect identified
34c35c937a26d9263a0468a8b533790c16b28790f5fe57af8fd6fbcdee54fa0c,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.058315,51.563858,On or near KNIGHTLAND ROAD,E01001822,Hackney 029C,Investigation complete; no suspect identified
9d7e18ee48cb1d794656db18d2eacbffee3630bd06730fdbc4a92904c6ca4d6e,2021-08,Metropolitan Police Service,Metropolitan Police Service,0.124448,51.494459,On or near LENSBURY WAY,E01000422,Bexley 002C,Investigation complete; no suspect identified
e5ceb881cb052522d950aff42d65967d3c203adf7463c60122ac5813bcf05e73,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.029033,51.366564,On or near FIR TREE GARDENS,E01001130,Croydon 025C,Investigation complete; no suspect identified
de0d365c306c42331360e901b4724508931948e1e3fb5d9065fcda67102a7f22,2021-08,Metropolitan Police Service,Metropolitan Police Service,0.040175,51.494912,On or near Parking Area,E01001709,Greenwich 004B,Investigation complete; no suspect identified
d65f4d3c11fcd4a77b98205d8c9f7da951f640238e7f29ff06dff577f2847690,2021-08,Metropolitan Police Service,Metropolitan Police Service,-0.046583,51.415977,On or near THESIGER ROAD,E01000805,Bromley 004E,Investigation complete; no suspect identified
