Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f2b4292f11e0954dc16bce33b4fd5283cfa68e04638a84de02ca85d701df30b3,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.192935,51.500004,On or near WRIGHT'S LANE,E01002889,Kensington and Chelsea 010B,Offender sent to prison
c8f69bb813cf827ccc019ea5724dfb1f2a11bf30fc0fc09c6e0f450dc22c0d94,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.06598,51.554605,On or near Pedestrian Subway,E01033713,Hackney 010G,Offender given suspended prison sentence
5d4aa31fdcb70deb7ffc9ce6a1c947ced15e0ee4412a656c38145c785649f6f6,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.194459,51.510297,On or near LINDEN GARDENS,E01002885,Kensington and Chelsea 006D,Offender sent to prison
165b3d7950d1fe9d530be44c641d1b5a2c5b828ab5e5964ce22e8fa8cb58c139,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.053073,51.554509,On or near LAURA PLACE,E01001794,Hackney 011C,Offender given community sentence
5d2b2cee137886f49c1ec57fc24ef72d6114f26017ba62fc262a5e6104660294,2018-05,Metropolitan Police Service,Metropolitan Police Service,0.025005,51.547234,On or near WOODGRANGE ROAD,E01003556,Newham 008A,Offender given community sentence
488af140dc727a285764deb017d7e0fec638bac5b6bc44674e0e45a937d4f3d2,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.009573,51.547097,On or near Sports/Recreation Area,E01033583,Newham 013G,Offender given community sentence
41a46b6e1dfcf7735174a8413163fd9226106b8dc45b15d871aeff883c861c4f,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.169303,51.493244,On or near FULHAM ROAD,E01002862,Kensington and Chelsea 014E,Offender sent to prison
589064fe775656f4ee5188c6f8d629d2d3504eee6f075ff6737c8a6d002c0958,2018-05,Metropolitan Police Service,Metropolitan Police Service,0.009261,51.538188,On or near HURRY CLOSE,E01003636,Newham 020E,Offender given suspended prison sentence
3498573e113dd8b3ab1e482abf2dea3c22952218a0f54ce27326d4a28a25a1f8,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.242274,51.500178,On or near ASHCHURCH PARK VILLAS,E01001930,Hammersmith and Fulham 008D,Court case unable to proceed
5397610d5d026a595e4d9a12b569c01082719ac2ed0b0baa3944bf0d6d80b35b,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.301446,51.513379,On or near OAK ROAD,E01001221,Ealing 020A,Offender sent to prison
e1b4b79d8f48103b819f28fca04eda76330de4ff74d6aa1ed1aa7e632f4d4316,2018-05,Metropolitan Police Service,Metropolitan Police Service,0.002518,51.41076,On or near FARNABY ROAD,E01000673,Bromley 011B,Offender given conditional discharge
165b3d7950d1fe9d530be44c641d1b5a2c5b828ab5e5964ce22e8fa8cb58c139,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.053073,51.554509,On or near LAURA PLACE,E01001794,Hackney 011C,Offender given suspended prison sentence
6bc312ac8246ca8a190550ab00b599a296d49cb99105acb18e358df7df3089b1,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.04011,51.55708,On or near OSWALD STREET,E01001787,Hackney 013B,Offender given community sentence
036147895f23dc5493937388b9a13e68b8014350db6a7ae0f447e6721f8ccbed,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.135001,51.514474,On or near Nightclub,E01004763,Westminster 013B,Offender given suspended prison sentence
da7e643c70b6f04bd45b7ecb0e7b3e964b4c302ae85237edec8824cc7eca8820,2018-05,Metropolitan Police Service,Metropolitan Police Service,-0.174192,51.62746,On or near Police Station,E01000281,Barnet 008D,Offender given community sentence
a77dfce75b93dc1b0970326f1c37d6ed34ae70f38b09eeb404b8c778be652242,2018-05,Metropolitan Police Service,Metropolitan Police Service,0.034154,51.541509,On or near MARLBOROUGH ROAD,E01003562,Newham 014A,Offender sent to prison
